docID,url
ri5v6u4x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC343292/
kuybfc1y,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC343293/
ng4rrdte,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC420028/
1769ovyk,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC420071/
tixxm78q,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC420074/
t35n7bk9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC420498/
pwsvhitd,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC421742/
wt8zfqk0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC434493/
5gsbtfag,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC442122/
fpj5urao,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC446188/
wutnzzhg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC468889/
eiqypt0m,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC468896/
lwla5ugt,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC481056/
8zwsi4nk,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC516801/
t20z4mtt,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC517494/
0gmtnkbh,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC517714/
rrhh2alf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC518965/
sgmk96vr,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC520756/
di0fcy0j,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC521691/
1ke7i2wr,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC524032/
v95fzp8n,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC529439/
52vixim5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC529455/
47ema2dq,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC534108/
jzj8q25c,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC535339/
qg0fsliy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC538260/
p7um7o87,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC539059/
3k1tiuby,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC540064/
xvi5miqw,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC544195/
1i36lsj2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC544859/
4k8f7ou1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC544882/
wnnsmx60,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC544965/
mtmgur1u,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545044/
gdsfkw1b,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545053/
0s6ort9f,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545063/
zl5lgcog,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545201/
2su7oqbz,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC546170/
yba7mdtb,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC546175/
ic4d9dhk,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC546205/
jh9e85c0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC548145/
7vi6skvh,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC548373/
efrv5nvf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC549079/
xtg0e142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC549190/
bbvxu8op,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC549431/
e6e5nvn9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC549520/
q1y8uscj,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC549547/
lgcmamfb,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC549583/
4u2re1cu,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC549591/
e62cfqt7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC551583/
04cuk2cn,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC552329/
mvxz7lx7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC552331/
m9rg6d3w,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC554982/
4cvy9u28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC554992/
89xnnvuv,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC555555/
zowp10ts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1054884/
i4pmux28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1065028/
jw1lxwyd,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1065064/
xiv9vxdp,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1065120/
mcfmxqp2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1065257/
5dk231qs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1072802/
snqdma0s,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1072806/
1pq6dkl5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1072807/
402ls2aq,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1074749/
754nln40,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1083427/
4mnaicki,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1084330/
ztkjm79p,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1084353/
p34ezktf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1087471/
0fitbwuv,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1087510/
