word,wordID
"emily,1846
770,1660
inability,1657
specifically,1655
anxiety,1654
openly,1652
surfaced,1649
complaints,1809
people,1648
infection,1647
equity,1645
matthew,1900
re,1643
place,1642
treated,1640
healthy,1639
privacy,1638
exceptionality,1637
ambulatory,1635
near,1630
setting,1629
sound,1627
confront,1625
respect,1624
thus,1622
moderate,1621
quarantined,1619
competing,1618
receiving,1614
made,1612
managed,1610
protect,1609
shaking,1601
cant,1600
might,1599
restricted,1747
receive,1598
nyhof,1595
visitation,1593
unambiguous,1592
i,1589
rationale,1588
loss,1586
imminent,1581
members,1580
ethics,1576
risk,1575
population,1569
end,1568
1052,1567
losing,1566
precautions,1565
individuals,1564
massive,1563
impact,1562
publicity,1582
stay,1560
patients,1558
conveying,1557
directly,1551
argued,1550
latitude,1547
conditions,1544
distress,1679
operationalization,1543
handed,1539
emergent,1538
manner,1537
hugging,1536
reaching,1533
damage,1531
conduct,1607
generated,1529
sometimes,1528
affect,1527
institution,1524
pay,1522
restriction,1520
clinical,1518
return,1517
corporate,1515
communicating,1513
disparities,1512
movement,1511
corporation,1508
consistent,1505
university,1504
risks,1503
link,1523
reflective,1502
allows,1501
populations,1497
transmission,1493
notion,1489
knowledge,1484
particularly,1483
evolving,1482
creeping,1478
rikio,1879
contaminated,1474
persistent,1471
cough,1470
differently,1469
cleared,1468
coexist,1463
operational,1462
indicates,1480
challenge,1461
exercise,1460
discussed,1459
supportive,1519
explicit,1456
transparent,1455
reasonable,1454
roze,1451
"remy,1449
froissart,1448
uzest,1447
caring,1633
marilyne,1446
lionel,1445
reasons,1443
toward,1442
needs,1766
expectation,1743
speech,1441
obvious,1440
viruses,1437
signal,1435
estimate,1434
phone,1792
drastically,1433
thickness,1431
adequate,1426
current,1423
search,1422
go,1421
combines,1420
get,1419
914,1417
equivalent,1415
cl,1414
existing,1412
already,1411
a2,1410
double,1407
analyzed,1402
second,1397
converge,1396
hua,1908
views,1393
map,1390
smaller,1429
according,1388
conformational,1387
maximum,1386
requests,1813
journals,1656
30,1383
targeting,1382
ratio,1379
purpose,1378
point,1377
micrographs,1376
twenty,1375
argue,1556
rate,1424
angstrom,1374
circular,1372
resulting,1371
twice,1365
save,1364
14,1363
furthermore,1362
interesting,1408
increase,1359
24,1358
eventual,1571
lack,1485
32,1357
difference,1356
purple,1355
phase,1354
fever,1577
up,1353
correspond,1351
estimated,1347
add,1346
effective,1345
calculated,1344
assess,1343
robust,1342
detail,1338
sensible,1488
weight,1336
refereed,1615
steps,1334
displayed,1333
relatively,1332
video,1328
described,1325
easily,1324
enhanced,1323
limit,1322
above,1321
kirisawa,1881
identity,1514
more,1318
capsid,1317
methods,1312
limiting,1307
minimum,1305
executed,1304
vp19c,1303
bias,1301
1340,1380
plots,1300
accomplished,1299
2000,1296
here,1294
order,1291
small,1290
arising,1287
processors,1286
possible,1285
martinez,1830
quick,1781
components,1280
refined,1278
assigned,1275
against,1273
james,1864
500,1272
stringent,1271
finally,1267
fsc,1266
iterative,1265
real,1263
micro,1717
whose,1261
quality,1260
closest,1259
red,1254
characteristics,1252
recently,1251
running,1250
algorithms,1249
choices,1248
33,1247
1011,1246
render,1499
instead,1245
took,1241
10,1238
22,1237
behind,1726
highest,1236
smooth,1400
giving,1235
match,1234
correct,1233
uniformly,1229
coefficient,1228
best,1227
site,1698
aimed,1224
wavelets,1222
clear,1221
known,1217
into,1216
computational,1213
original,1211
discarded,1210
compare,1208
transforms,1206
16,1205
line,1204
lines,1203
d2i,1384
6000,1202
far,1201
particles,1200
independent,1198
1a,1195
system,1594
does,1194
access,1579
assessment,1191
determine,1190
proposed,1189
compared,1232
determining,1186
2d,1182
left,1176
center,1175
icoshedral,1340
dimension,1174
step,1171
each,1168
size,1167
study,1166
=,1791
develop,1678
vigilance,1628
enhancing,1163
tested,1161
august,1632
criterion,1160
obtained,1159
multiple,1157
complaint,1682
sindbis,1154
effect,1152
microscopic,1151
images,1149
"sandrine,1875
600,1148
20,1147
showed,1145
cross,1144
observed,1143
farther,1140
a1,1138
containment,1709
standard,1137
base,1135
particle,1133
algorithm,1132
describes,1131
processing,1129
parameters,1126
currently,1297
targeted,1125
simplex,1124
green,1123
communities,1634
inpatients,1525
followed,1120
version,1193
same,1119
expected,1230
saad,1114
dimensional,1113
reliable,1111
then,1110
view,1109
become,535
but,72
postpone,536
epidemiological,1608
armed,532
influence,531
give,1405
we,1169
only,523
trumps,1458
organization,518
half,1276
safety,519
defocused,1063
detection,1162
8,515
overshadowed,514
clearly,945
while,511
dictate,1789
why,1444
and,508
invited,504
australias,503
forge,502
government,501
disproportionately,1542
survive,61
related,499
service,505
retail,496
intrinsic,495
diminution,1570
had,491
sweden,482
accuracy,1293
discourage,479
angles,1316
crucial,1155
particular,467
role,464
likely,463
strategically,461
july,459
unlikely,458
intensify,457
numbers,1776
not,456
hong,1909
reason,1428
"joe,14
regulations,453
scrutinized,1561
regularize,449
realized,1264
examples,1061
comment,448
sixth,446
opportunity,1771
were,445
experience,1764
know,1559
deployment,443
plant,442
pandemics,441
the,26
other,440
rule,1578
merit,1282
assembly,439
top,1395
policy,435
edr,1850
found,1430
linkages,433
7,539
economic,540
facts,1784
relates,429
performance,424
values,1215
works,1187
penalties,423
structure,1046
caused,1604
kissing,1506
creates,420
applying,921
resources,1666
citizens,419
visual,1219
commercial,418
"ewan,1858
living,1733
2616,983
unfairly,1590
staffing,409
barraclough,410
plotting,1369
situation,408
protection,407
an,34
declared,403
characterized,474
countries,475
hiv,473
renewed,398
domestic,397
harmed,1662
starts,1036
low,1037
40,1209
when,395
established,394
including,431
at,432
convey,1677
arriving,383
departments,516
public,384
furthered,382
official,381
developers,1749
curve,1302
demand,380
medical,379
consultation,493
reflection,1651
big,1279
2005,494
accurate,1314
next,378
regulatory,377
however,375
outlined,373
concerns,524
america,372
figure,1066
acquiring,1197
global,369
medicines,364
introduction,358
residual,1226
liberal,354
galibert,1450
comparing,897
nature,353
his,349
such,466
north,351
"ganesh,1839
chemical,346
integral,339
last,415
those,338
statutory,371
culture,75
noise,1087
between,437
suitable,1404
right,1164
are,336
assenting,333
inter,331
encouraged,330
or,329
being,328
corporations,326
multi,1016
programme,343
advantages,1439
march,345
it,320
treaties,318
trend,1516
amount,1258
entire,976
degree,317
surgery,315
high,1218
spread,316
attempts,312
"stephen,1833
scheme,537
tool,3
shell,1341
hierarchical,1000
filter,1136
goods,484
parliament,310
issued,309
play,308
enhancement,904
little,301
upon,302
approximately,1108
east,299
result,300
ribosomal,1844
obtaining,1180
nursing,293
effects,952
international,430
variety,953
three,288
participation,287
travel,286
percentage,1274
78,1008
their,405
interventions,1555
upton",18
area,292
continued,291
considered,281
media,1605
especially,282
short,279
input,1277
delegation,280
aware,306
supported,278
virginie,1872
child,277
primacy,276
ideal,1491
publicized,275
them,274
department,325
scrutinize,271
collaboration,270
origin,1392
negotiated,390
well,268
surface,1339
assert,267
progress,266
coalition,313
illustrated,265
liberties,1587
helped,264
remain,263
supercomputer,1242
state,261
concerning,1381
guinea,259
information,1256
one,258
budget,148
relevant,323
archiving,1031
covered,1118
now,118
professional,89
trained,115
classical,1240
225,152
9,112
environment,492
refines,1269
classification,966
aboriginal,109
general,402
reliant,105
disease,362
hsiao,55
residents,694
controlling,100
context,512
continues,97
specific,1583
permanent,124
kelly,886
member,272
gave,978
containments,98
guidelines,180
force,262
governing,434
radius,1306
contributing,95
acceptance,1584
taken,1165
approach,84
expressed,81
recent,16
problems,1703
endorsed,240
advisors,125
by,22
value,1348
chan,52
ph,957
most,297
restricting,1644
broadly,1603
subsequently,296
characterization,1855
rehab,12
is,78
infringed,1540
emphasized,135
fitness,67
$,153
plyusnin",64
taking,1438
drain,94
practitioners,647
approximation,1179
task,249
world,250
imperative,131
affecting,1890
action,305
vigilant,1823
able,63
standardized,1481
raise,96
presence,60
community,176
trump,1545
staff,177
advisory,142
syndrome,235
encompasses,1574
us,236
traditional,237
proposal,38
position,1554
choose,1212
cost,490
course,704
elsewhere,215
rogers,1690
courage,31
4,304
apec,697
treatment,698
exponents,234
sampling,1010
exceptional,1541
a,5
mode,1697
about,526
available,1745
investment,480
yields,1096
appointing,361
(,17
airports,613
handle,90
must,87
r,24
demands,1466
searches,0
papua,507
total,151
300,1327
nominated,340
professions,195
200,1220
special,196
changes,956
systems,469
served,122
criteria,1103
blast,19
advantage,1255
containing,1173
ageing,357
object,900
estimation,901
treaty,23
significance,619
policies,620
providers,1553
border,178
implement,284
39,1315
zhou,49
within,283
times,1007
belief,101
respected,360
organizations,359
legitimacy,85
ai,42
brief,483
least,996
all,389
lim,45
tend,1366
"hu,50
officially,110
advertising,370
hantavirus,74
survey,242
certainly,1425
zuoming,47
due,559
maps,1052
appropriate,1298
acquired,15
danger,412
involved,411
pseudoknots,1856
sainz,874
until,174
demonstrated,116
contour,1331
reduced,71
route,186
fact,119
13,1107
recruitment,92
under,238
patient,1671
david,10
improvement,1207
demanded,584
martin,1837
sars,585
relationship,586
software,1308
sole,79
rules,37
approaches,1722
minimal,1313
bodies,686
pharmaceuticals,687
focal,1127
remote,111
proves,1398
unfortunately,969
deliberately,102
legislation,88
ago,476
d,28
foreign,489
visit,822
sequence,4
vital,160
period,161
recognize,1751
shows,77
selected,134
hospitals,106
easy,1535
ireland,425
field,342
adherence,1768
be,269
recombinant,76
making,224
quarantine,365
because,478
thereby,1585
techniques,1059
developing,477
uniform,892
parental,66
positions,555
decision,500
represented,103
lessons,1755
doctors,428
to,13
better,303
siew,46
agreed,143
appears,1416
concerned,285
new,7
micrograph,1018
intersection,1368
probable,158
ling,44
agreements,401
house,556
),8
intermediate,1413
single,754
example,193
expressions,1730
yijun,40
sydney,191
acute,221
announced,173
nathan,29
recognized,1453
act,183
m,182
addition,209
rapid,210
zealand,406
dentico,30
for,32
may,1646
occurred,736
agencies,348
enforce,1692
confirmed,155
differences,1465
would,154
collateral,1812
holland,465
positive,82
shu,882
dynamics,225
exhibited,1473
essential,35
bear,1724
b,156
laboratory,157
passages,65
closely,385
typical,972
after,973
zhu,48
responsibility,485
jianming,51
smuggling,632
structures,1337
indirect,327
included,114
chosen,993
virus,59
country,171
yoshiyuki,1880
encompass,367
man,992
cooperation,366
slow,896
angeles,188
long,971
insurance,436
plus,113
consecutive,57
consequences,363
difficult,798
multilateral,799
analysis,58
include,356
accessible,1738
valid,1288
as,355
commonwealth,444
invested,944
denoising,1409
needed,226
"nicoletta,27
affected,170
immediate,462
find,1005
board,246
rife,1606
old,247
lower,130
following,392
selection,1062
diagnostic,1674
major,132
aid,133
tests,1757
morris",870
metropolitan,107
terrorism,136
suppliers,202
controlled,108
immigration,104
in,1
domestically,231
outbreak,1801
with,521
report,140
jonathan,1842
legitimate,1756
electron,1142
coming,941
minister,141
employed,1360
reconstruction,1185
number,99
responding,1476
contribution,146
ausaid,147
generating,902
technique,1047
will,527
25,1017
attended,199
development,314
serious,200
factor,1098
powers,335
relationships,164
workforce,149
"angelina,73
controversies,220
help,393
uncertainty,184
which,488
various,487
henceforth,1060
1908,181
determination,1139
five,159
negotiation,452
recording,1032
quarantinable,530
elective,163
signed,388
los,190
returning,162
appeal,1723
average,929
accompanied,166
noted,123
posted,165
clearance,167
aircraft,169
acquisition,1243
liu,41
"jianjun,43
created,808
increases,989
that,396
dentists,376
no,172
deviation,1022
2003,347
professionals,179
air,187
greater,192
enabled,961
centred,506
economies,197
although,386
threat,198
monitor,175
alert,201
atavistic,204
accept,254
from,255
restrictions,211
memoranda,648
articles,212
printed,1498
practice,93
tourism,203
consultations,400
popular,205
revived,206
vice,307
affairs,245
prove,1239
convenient,938
was,244
frameshifting,1849
several,208
reflect,1641
series,214
recruit,213
gatherings,1620
integrated,252
giddings,1903
so,350
close,251
sara,1898
discuss,194
qantas,185
if,341
functions,937
frustration,1775
moreover,1573
concessions,218
pharmaceutical,219
makers,227
interests,228
picture,1077
relations,421
intersectoral,229
governance,137
whilst,239
executive,298
occurs,257
mandate,256
states,541
mottle,1887
formed,542
fears,543
hwpm,1128
set,544
respectively,1335
separates,1023
assistance,545
normally,1623
these,547
conducting,548
deal,549
translation,1895
young,1707
light,1659
article,80
dimensions,550
review,551
declined,552
programmed,1843
private,553
diseases,554
reaction,1611
usually,557
blocs,561
resolutions,562
threats,399
ministry,563
author,564
represent,1009
who,565
responsible,566
commence,567
different,1090
facility,1782
/,145
personnel,568
wccf,1231
noisy,1170
formulation,334
forum,569
consider,223
clearing,570
binkowski,1866
transformation,1432
comparative,571
europe,572
ultimately,1787
symmetry,1292
operate,232
1,573
denis,1452
process,1033
southeast,574
grid,1225
initial,1069
shortages,472
of,69
australia,575
united,471
acknowledged,576
asia,577
resolve,1044
removal,481
accepted,578
management,1713
whos,579
projects,580
class,1223
authority,468
body,581
promoted,582
strict,1728
around,1281
common,538
considerations,583
therapeutic,587
labor,588
negotiators,560
constitutionally,589
defence,590
responsibilities,591
regardless,1115
participated,592
external,289
promote,83
meeting,593
thailand,594
skilled,117
eve,595
subscribe,596
level,597
ethical,368
data,598
anger,1602
understandably,1530
expect,1464
on,352
allowed,413
face,600
outlining,1748
otherwise,417
links,601
called,602
december,603
microscope,1320
convention,606
fctc,607
lapinsky,1832
interactions,374
plyusnina,68
support,608
sensitivity,1704
similarly,1701
paper,1116
control,609
administrative,610
contrast,1102
belgium,611
computable,1319
underscored,128
food,612
broad,391
disagreement,614
sets,1352
virtual,615
comparison,1295
rounds,616
whitney,9
reservations,604
first,617
ian,1853
authorities,321
simulated,936
impetus,618
april,1753
orthogonal,1019
immigrating,621
mechanism,1184
agenda,120
packaging,622
areas,509
covering,623
centralized,625
issues,626
lamarca,876
also,454
previous,627
warnings,628
bi,248
ministers,629
labelling,630
sales,631
balancing,634
could,635
worked,1475
embrace,636
governments,344
auspices,638
19,1436
3,639
robinson",1916
confidentiality,1818
provided,640
67a,1042
classes,1043
suspected,1526
computationally,1041
security,641
constitute,642
thirty,1401
administration,529
li,54
limited,643
contagious,1549
been,644
transnational,645
requirements,1532
depends,1289
framework,605
preferential,649
database,1509
national,510
carrier,650
countered,651
aids,144
defocus,1086
standardization,1477
pixel,1309
further,652
shigemoto,1852
determinations,1196
large,653
voluntary,273
advance,654
initiatives,655
this,656
call,657
procedures,624
ramifications,658
1213,1394
pbs,659
constitutional,660
over,661
italy,404
volte,662
prevention,663
efforts,664
costs,416
airline,243
levels,665
adolescent,666
establishing,667
begins,1150
asymmetric,1028
earners,668
necessity,1013
45,1326
sgi,1253
1617,1183
g,669
leadership,670
variability,1494
industry,522
animal,672
account,217
reduce,1053
effort,1694
detections,1054
alexander,62
enhance,1055
results,1056
evident,673
take,1350
garry,872
territories,675
western,676
pacific,677
0,1025
randy,1835
robert,873
chair,678
having,599
bureau,679
75,908
screening,1467
icosahedral,1117
secretariat,681
strengthening,332
wake,682
undertaken,683
cannot,1685
decomposition,1003
reciprocal,684
final,688
paradoxical,689
resemblance,1158
agreement,690
diplomatic,691
good,138
intended,692
accounting,693
image,533
accurately,948
thin,1082
canada,207
work,695
do,696
should,699
uk,700
compelling,1534
choice,1121
element,427
received,701
malta,702
notice,1783
finland,703
contribute,705
potential,706
guard,1807
arrangements,707
important,708
neutral,709
denmark,710
taylor,1899
themselves,711
ford",33
costly,712
experienced,1521
partly,1192
region,713
medicare,714
manktelow,1851
finding,1083
death,1754
pioneered,715
generates,1146
21,923
uses,1268
cell,56
party,716
part,337
trade,717
underlay,1546
regulation,718
thai,719
opt,720
transformed,1089
damaged,637
out,721
failed,968
freedom,1552
than,1361
hospital,722
severe,294
lateral,723
repeating,916
continuing,725
higher,726
blood,1507
refinement,1074
closer,727
devices,438
refusal,728
standards,729
income,730
publicly,1727
duty,1617
learned,1597
terms,426
time,731
optimizes,934
insure,732
chris,21
respiratory,733
implications,1613
ministries,734
identify,2
cemented,738
departmental,216
thresholding,910
years,253
its,671
ties,739
change,36
profitably,740
necessary,741
assignment,1257
punitive,743
hawke,744
2,745
tobacco,746
premiums,747
hours,1244
safeguard,91
tradeoff,1057
parameter,1406
audio,1058
diligence,1760
representatives,748
inadequately,750
commenced,751
negotiations,752
tetsuya,1885
planning,753
regional,460
developments,422
joint,755
"brock,1867
workers,756
have,735
agency,757
simon,758
preceded,759
esteban,11
case,760
sharon,1616
operations,761
undue,1496
clinics,762
focus,763
seen,86
regulate,764
3d,1134
prescription,765
yielding,889
regarding,1626
computed,1177
complementary,766
12000,1038
infirmity,767
matlab,1349
ruan,39
subject,742
2002,768
pair,1071
corresponding,1072
measures,450
tariff,770
counterpart,771
reported,772
nations,773
extent,774
overseas,775
two,776
density,1418
rebate,517
massage,777
epidemic,319
still,778
japan,779
biasing,1153
e,780
developed,781
improved,1389
yuan,881
globally,1492
chang,53
wider,783
model,784
infectious,786
individual,1181
basis,787
circumstances,1737
share,788
"william,1902
prominence,139
similar,789
finalized,790
fully,1457
another,1130
led,791
designed,793
sub,470
market,546
both,794
services,290
rural,795
meetings,796
run,887
code,797
tasman,801
frequencies,1270
appoint,802
concern,1596
absence,1284
range,803
using,1427
allocated,150
free,804
membership,805
providing,1773
microscopy,1035
parallel,806
activities,646
decades,807
based,1199
legal,809
similarity,6
distribution,891
travellers,810
understanding,811
opinions,812
counterparts,813
during,814
visitor,1712
obtain,168
associated,815
organized,816
administrations,817
facilitate,1653
china,818
visitors,1762
yet,819
indonesia,821
nurses,823
term,824
orientation,1156
territory,311
president,826
digitization,1030
vertical,1283
show,1214
jinta,827
theatres,534
symmetric,1085
many,828
reality,829
age,749
implementation,830
trans,800
plan,831
without,1024
brain,832
6,833
emulate,834
longer,127
rejected,835
republic,513
care,685
inclusion,836
there,837
ministerial,838
jakarta,839
officials,840
partnership,841
sensitivities,497
family,842
raised,222
mental,844
promulgated,241
conference,845
gives,1012
annual,846
privately,847
suicide,848
internationalisation,849
5,850
aged,851
direct,852
replace,769
expertise,853
export,854
projections,1141
alteration,955
benefits,855
reinforce,121
singapore,856
problem,939
usa,857
reciprocity,1806
placed,322
can,324
hits,20
perspective,858
midwifery,859
like,1178
geneva,860
impede,1777
tula,70
dominated,189
rights,861
permitted,233
offered,862
provision,863
human,633
norway,864
gradual,865
huang,1911
hu,866
since,867
they,820
imposed,868
sensitive,869
orientations,1092
cindy,871
"bruno,875
need,782
+,950
frameshift,1848
main,951
heather,877
counter,414
through,724
john,879
xiao,880
ensured,1310
hoogerwerf,883
"willemijntje,884
propose,1026
generate,1329
gondesen,885
surfaces,1330
where,785
written,888
rank,890
optimized,893
inaccuracy,1188
representing,894
applied,895
test,1311
consists,898
political,1486
angular,899
consideration,903
australian,528
1250,905
pathogen,1490
diameter,906
type,907
212829,909
approximations,912
wp,913
w1,914
650,1399
matching,1122
given,915
present,917
horizontal,919
pathogens,1636
pass,920
mainly,922
others,1479
every,924
component,925
transform,926
principle,927
100,928
yielded,930
coefficients,1262
sanction,451
27,931
spatial,932
avoiding,1510
local,792
spectrum,933
ethically,1673
symptoms,1472
majority,935
esther,1877
messages,1591
sources,940
populace,1669
required,230
reduces,975
bases,942
weights,1385
50,946
85,947
enhances,949
negotiating,680
improves,954
filtered,959
18,962
our,1658
prior,1548
p,963
overt,1631
averages,964
1516,965
filtering,967
investigation,970
d1i,1373
vp5,974
reducing,977
kristiina,1894
civil,1500
icl,1391
significantly,979
directions,918
method,1048
application,980
properly,981
reliability,984
denote,911
pixels,985
stigmatization,1495
fourier,1006
signals,986
therefore,987
magnitude,1702
polar,1403
icosahedrally,988
has,295
triangle,990
testing,991
grouping,994
infectivity,995
frequency,997
much,998
50000,999
computer,1001
medicares,520
chinas,825
details,1002
naming,1734
ever,1672
weighted,1004
ostensibly,455
gaussian,1011
ali,1014
forces,525
reconstructions,1015
wavelet,1020
any,1572
designated,126
highly,1021
great,1027
determined,1029
intensive,1034
hence,1172
impracticable,1039
performed,1040
winston,878
require,1045
liberalization,387
c,1073
impossibility,1049
mean,1050
empty,1370
p22,1051
avoid,1064
priority,129
very,1065
status,737
structural,1067
goes,1068
third,958
blue,1070
tariffs,674
pictures,1076
significant,1078
emphasize,1079
indonesian,498
emergence,558
did,982
extremely,1080
ability,943
fig,1081
grouped,1084
correlation,1088
less,1367
health,25
use,1091
assist,1650
hsv,1093
expanding,260
speed,1094
direction,1075
projection,1095
herpes,1097
borne,1487
drugs,447
some,486
shown,1099
accelerate,1100
space,1101
superiority,960
raw,1104
even,1112
research,843
resolution,1105
used,1106
